file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,2169,447400,3078719,807397,2440.024617,0.710175,4338,1717,1.654712,1,8,1,134.677732,247
Mutagenicity,modified,false,branch_uniform,2,1,1,1,2169,423797,3078719,807397,2517.696199,0.743800,4338,1713,1.652190,1,10,1,80.164592,138
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,2602,438430,3078719,807397,3038.826431,0.769811,4338,1723,1.658509,1,7,1,80.400876,146
Mutagenicity,modified,false,branch_uniform,2,1,1,1,2602,410036,3078719,807397,3061.701524,0.724051,4338,1712,1.651561,1,9,1,95.481558,193
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,3036,430524,3078719,807397,3494.782753,0.792036,4338,1690,1.637840,1,8,1,75.882665,167
Mutagenicity,modified,false,branch_uniform,2,1,1,1,3036,403517,3078719,807397,3365.688380,0.766824,4338,1700,1.644049,1,8,1,80.023513,143
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,3470,423167,3078719,807397,4131.056615,0.808633,4338,1687,1.635986,1,7,1,109.566851,187
Mutagenicity,modified,false,branch_uniform,2,1,1,1,3470,396357,3078719,807397,3951.679294,0.799860,4338,1698,1.642803,1,7,1,72.730521,133
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,3904,417128,3078719,807397,4567.972467,0.783836,4338,1694,1.640318,1,7,1,132.142692,246
Mutagenicity,modified,false,branch_uniform,2,1,1,1,3904,390673,3078719,807397,4343.977992,1.078507,4338,1685,1.634753,1,7,1,58.532273,105
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,4336,412804,3078719,807397,5214.202398,1.102094,4338,1671,1.626172,1,6,1,90.571692,162
Mutagenicity,modified,false,branch_uniform,2,1,1,1,4336,386320,3078719,807397,4937.262705,1.108860,4338,1731,1.663598,1,8,1,94.556478,162
